,teks,label
124,cepat gift paketextra kuota internet ribet isi ulang pulsa download aplikasi mycare smuanya mudah install,2
125,download file putus tinggal gatis mifimodem spesial untuk bawa sms galeri sf isi pulsa rb sana sd jan,2
126,ekstra telepon sms internetan sk laku ikut surveu singkat aplikasi musik sd september klik,2
127,internetan kuota harga murah buru cek tawar khusus nomor laku juli,2
128,jajan kemanamana sob jajan suka nge games cek,2
129,paket data gb bulan ribu buru ketik tawar laku sd jul,2
130,paket data ribu buru cek tawar laku juli,2
131,pergi hati nya aliando hp ambil nsp gratis nya akses dapat promo gratis sesuai hobi,2
132,merdeka hot sale kuota gb harirprb rprb tawar batas cek d,2
133,migrasi kartu kartuhalo nomor dapat paket spesial gb rbbulan kunjung grapari tunjuk sms inipromo terbatasskb,2
134,murah seru banget main gamesmu pakai pulsa beli koin cek,2
135,murah rprb dptkan gb paket internetan internetan seru aktif promo sd feb,2
136,hemat grab laku jalan grabcar grabtaxi otomatis diskon jalan nikmat diskon tahap ributrip ayo coba bukti,2
137,nasabah hormat rekening btpn wow aktif laku transaksi pin rahasia informasi hubung,2
138,telpon murah rupiah panggil mall sin thailand hk china usa tekan kode negarano tuju informasi,2
139,nikmat combo wendys fried chicken nasi minum rupiah periode junitukarkan sms wendys dekat sedia terbataspromo,2
140,nikmat disc dominos pizza premium big pesta weekendharga rprbberlaku dine intake away sd maykunjungi store terdekathubungi,2
141,nikmat diskon bakmi gm tcash tap sk laku informasi tselmetappromo,2
142,nikmat diskon tarif sli negara sd wib sd agustus informasi lengkap ketik,2
143,nikmat diskon tarif indosat negara chn mlahkgsngtwnvtmmacau laku feb informasi hubung ok,2
144,nikmat double internetan jaring data kuat gb gb tlpsms puas paket freedom combo daftar,2
145,nikmat double kuota promo gbg jaring data kuat unlimited nelpsms jam paket freedom combo tekan indosatooredoocomfreedom,2
146,nikmat ekstra pulsa isi ulang min rb aplikasi mytelkomsel tcash download promo sd agst,2
147,nikmat ekstra pulsa isi ulang min rb aplikasi mytelkomsel kartu kredit visa download promo sd agst,2
148,nikmat extra gb lte extra kuota gb midnight beli paket flash gbhr rupiah rb cek tarif tselmefl skb,2
149,nikmat extra gb lte extra voucher belanja rb beli paket flash gbhr rupiah rb cek tarif tselmefl skb,2
150,nikmat indosat super internetan ckp rbminggu kuota mbmbbonus mbak jam cepat hggmbpstekan syarat laku hubung,2
151,nikmat mudah bayar iur bpjs tcash hubung pilih menu bayar app twallet smartphone android iphone,2
152,nikmat telpon sms unlimited indosat ooredoo internetan puas paket freedom mini ketik,2
153,nikmat telpon sms unlimited indosat ooredoo internetan puas paket ramadhan unlimited ketik,2
154,nomor isi nomor sn,2
155,nomor milik paket netmax dapat paket netmax gb gb hp aplikasi bimatri situs tricoid,2
156,nomor untung tes identitas sedia untuk menang pulsa rprb tes kirim sms y informasi vd,2
157,pakai handphone xl axiata mu langsung internetan pakai xl,2
158,pakai xl repot setting langsung internetan yuk aktif paket internet myxlcoid,2
159,paket gb hasil aktif restart hp nikmat kuota internetan cek sisa kuota,2
160,paket nonaktif minta guna internet kena tariff dasar internet sesuai skema tariff kartu hubung aktif paket internet informasi,2
161,paket bronet jam mbak aktif nikmat mbak laku aktif sd promo axis telepon informasi,2
162,paket bronet jam gb rupiah aktif temu tawar tarik axis telepon informasi,2
163,paket bronet gb jam aktif nikmat internet gb laku jam aktif sd promo axis telepon informasi,2
164,paket flash mbak tarif non paket laku tanggal informasi hubung cek kuota,2
165,paket internet bronet jam gb aktif otomatis panjang jam informasi,2
166,paket internet spesial internetan minggu kuota gb rprb ayo ketik kebut kirim sd juli lupa ya,2
167,paket super murah pcs c strip ayam sayapnasiteh pucuk rptukarkan sms cfc yogya subang iniselama sedia adapromo,2
168,paket super kebut gb rprb aktif nikmat mbak panjang mar jam informasi,2
169,paket tsel flash tanggal panjang mbak harga ubah sesuai lokasi pasti pulsa cukup henti langgan ketik flash off informasi detail tariff lihat tselmeinternet,2
170,langgan hormat update informasi tarif baru tselmeas hubung rupiah telepon,2
171,beli daves single burger gratis small fries minum periode september tukar sms wendys dekat tawar terbataspromo,2
172,tawar khusus bonus kuota mbak isi ulang min ayo buru isi pulsa t,2
173,tawar spesial obral paket data gbnelpon puas nomor indosat rprb minggudaftar ketik ya laku rtx,2
174,pulang ythmohon nilai puas alam layan telkomsel ketik bahasa indonesia type english kirim free intl charged,2
175,promo panjang gratis mifimodem untuk tunjuk sms galeri smartfren isi pulsa rb bawa pulang mifi favorit sdnov dlk,2
176,promo poin spesial tukar tselpoin menit sms mbak periode promo juli informasi hubung,2
177,promo beli paket flash gb my telkomsel app extra telpon mnthr buru promo batas sk,2
178,promo beli paket flash gb my telkomsel app extra kuota gb lte extra telpon mnthr buru cek tselmemytsel sk,2
179,promo beli paket flash gb my telkomsel app extra paket gb midnight buru promo batas sk,2
180,puas internetan chatting facebook nonton video gb rupiah ribu beli paket,2
181,quota gb harga ribu beli paket puas internetan,2
182,raih smartphone diskon merchant free internet voice sms promo ri tukar telkomsel poin ags mytelkomsel apps,2
183,rawit harga miring internetan ayo isi ulang kartu axis pasti besok promo rabu rawit informasi ld,2
184,rawit kuota bagus harga khusus ayo isi ulang kartu axis pasti besok promo rabu rawit informasi ld,2
185,ribet bolak cek pulsacek sisa kuota internetmu download aplikasi mycare x klik mudah akses,2
186,rprbbln harga normal rprb telpon sms puas im plus kuota gbggb gmau ketik ya sd juni,2
187,rprbbln harga normal rprb telpon sms puas im plus kuota gbgb ketik ya sd aug,2
188,pindah jaring cepat tukar kartu gerai indosatooredoo jljend soedirmanpurwokerto dptkn bns rprb nelpsms indosatooredoo,2
189,aktivasi rekening btpn wow ketik tekan ya telepon pin rahasia informasi lengkap hubung,2
190,selamat voucher berrybenka rprb masuk kode voucher twd transaksi voucher hubung,2
191,selamat voucher lazada rprb masuk kode voucher tst transaksi voucher hubung,2
192,selamat voucher zalora rprb masuk kode voucher tsu transaksi voucher hubung,2
193,selamat bonus pulsa rupiah indosat ooredoo laku poin senyum tambah cek bonus,2
194,selamat gabung tri nikmat kuota gb harikuota panjang otomatis pulsa nikmat bonus kuota lipat gb panjang kartu otomatis nonaktif aktivitas,2
195,selamat paket sms operator aktif cek kuota,2
196,selamat paket aktif cek kuota,2
197,selamat paket bbm gratis aktif paket bbm laku,2
198,selamat paket flash mbak rupiah aktif laku sd tanggal pakai wib paket langsung panjang aktif paket tarif sesuai lokasi cek statusberhenti langgan informasi detail tarif lihat tselmeinternet,2
199,selamat tambah flash aktif laku sd,2
200,selamat hak beli paket pas telpon sms internetan video nsp pilih paket rupiah laku informasi,2
201,selamat aktif instink informasi tarik telkomsel informasi henti program cs,2
202,selamatanda gratis sms smsgift nomor informasi cs,2
203,selamat kuota tsel sms cek kuota informasi,2
204,selamat beli paket combo kenyang internet as cek bonus,2
205,sensasi seru main game ayo gabung heroes game hit download gratis,2
206,seru banget main ball pool pakai pulsa banget loh bro beli koin games cek,2
207,smartfren gratis mifimodem ganti gadget bawa pulang mifi gmmu tunjuk sms galeri sf isi pulsa rb sana sd jan informasi,2
208,special promo bonus kuota mbak isi ulang ayo buru isi pulsa t,2
209,spesial paket flash volume ultima kuota gbhr kuota harga rprb tariflokasi cek tselmefl,2
210,spesial paket internet hemat kuota limpah rupiah ribu kuota gb aktif buru skb,2
211,spesial langgan setia indosat ooredoo bonus aktif menit telepon sms isi ulang sd desember bonus laku x,2
212,stiker line luculucu banget loh beli yuk pulsa gampang banget coba yuk,2
213,super wow gratis gb ckup isi pulsa minimun rupiah ribu sd november laku kali sempat laku akumulasi loh tlc,2
214,tambah thr mataharimall kode thr diskon elektronik kode thr diskon gaya hidup kode thr diskon fashion,2
215,terima kasih paket data indosat informasi detail tekan,2
216,terima kasih langgan setia indosatooredoo download video bonus gratis telpon menit hubung,2
217,terima kasih sahabat indosatooredoo dapat video game seru gratis telepon,2
218,terima kasih sahabat indosatooredoo kenal batas bonus gratis telpon menit hubung yaok,2
219,terima kasih sahabat indosatooredoo rahasia heboh artisartis top bonus gratis telpon menittlp,2
220,terima kasih sahabat indosatooredoo download video bonus gratis telpon menit hubung,2
221,terima kasih isi ulang tanggal gratis telpon menitvideo tekan yesok,2
222,kini ungkapin pikir stiker line beli pakai pulsa tsel download stickershop,2
223,isi saldo tcashmu nikmat aneka promo merchants partner tcash cek promo baru tcash tselmetappromo,2
224,thank your appreciation percaya in using telkomsel servis further feedback mohon nasehat text sms freefor intl charged,2
225,tingkat nilai isi ulang minimal rpribu paket murah pas informasi,2
226,tri bagi bonus pulsa pernuh berkah isi pulsa min rb dapet bonus pulsa rb telpon nomor tri ayo buru isi pulsa t,2
227,trmksh hasil isi pulsa smartfren jual pulsabayar listrikspeedytelkom hubagen barokahmp reloadpasti untung,2
228,top up coins line beli stiker themes beli pakai pulsa koleksi cek,2
229,use my ajak code nxmvfue and get a free ride up rupiah redeem it at,2
230,wow diskon beli paket flash gb bonus menit rprb tunggu buru sk laku,2
231,wow promo panjang sd agt khusus tukar hp smartfrenmu andromax e lte rb rb ayo datang gallery smartfren dekat,2
232,penuh batasankami kebebasa n double kuota bonus gbg unlimited nelpsms musik streaming pakai kuotacuma freedom combo daftar,2
233,yuk dengerin langsung update hari seleb blog suara telepon gratis rpmggcs vas,2
234,yuk internetan kebut akses fb twitter chatting beli paket flash mbhr sesuai zona lokasi rprb cek tarif tselmefl,2
235,yuk temen belanja google play mudah banget loh pakai pulsa,2
236,yuk flash volume ultima update informasi kuota mbhr rprb tariflokasi cek tselmefl,2
237,nonton bioskop gratis keluarga cigna khusus tunggu telepon informasi cigna klik bitlytentangcigna,2
238,yuks internetan seruseruan flash volume ultima kuota gbhr rprb sesuai zona lokasi hubung informasi tarif lokasi lihat tselmefl,2
239,masalah cckt stres bunga lunas disc sd hubung aty wa legal,1
240,lelah bayar min payment solusi bantu legal tutup cckta dscn hublolyta wa legal,1
241,dana tunai bunga jt syarat ktp cc bpkb rate cair hubung ayu wamhn maaf menggangu,1
242,roxi cell rprb agen pulsa elektrik operator gsmcdmavvutk daftar ketik mtronik kirim,1
243,ramadhan selamat menang rpjt pin code yrkz informasi,1
244,brminat cashkredit motor scond barang istmwa tipemerk sjdsini mnyediakn unit atas hubung ms dediktp yk,1
245,menang togel tembus pasang shio tunggal angka mahar pulsa rb kirim nomor xxx khusus putar sgp senin,1
246,pesan suara dengar pesan suara silah tekan tekan okya bebas biaya terima kasih,1
247,main togel kalahmau hasil mbah joko bisah mbntu sioangka retuwal minat hubung mbah jokodi jamin tembus,1
248,aneka shop bagi promo type blackberry dakota jt tourch jt onix jt gemini rb upemesanan pin bbade,1
249,anyonghaseyo ngaku kpopers sejati ayo lengkap koleksi video kpopmu harga video murah loh informasi,1
250,artha cell diskon barang elektronik bb dakota juta bb onyx jt camera lain hubung sms pin bb bddfd,1
251,ass rumah tanah kemarin survei cocok nego harga hubung sms suami haji dermawan,1
252,ass randy mobil lihat kondisiy minat mohon hubung bapa bicara harga net drhdarmawan xxxxxxx,1
253,assmaaf wahyumengenai mobil jual lihat cocok nego harga silah hubung saudara jusman safei,1
254,ass maaf by hjsuri kemarin survey rumah harga hubung suami h sigit telepon terima kasih,1
255,asssy sugiyono tempo mngenai mobil toyotanyasy brminatcocoktlong hubung saudara dluuntuk negosiasi harga anabdullah hp,1
256,assalamu alaikumsaya reski costumer servis tri plaza semanggi lantai jljend sudirman jakarta mhubungi undi laku noanda sambung krimkn sms jatuh tempo noanda menang undi tri jenis hadiah unit mobil suzuki ertiga newdengan pin dcs silah cek situs hubung,1
257,assalamu alaiqum nenek masuk rumah sakit tolong kirim ulsa ribu nomor telepon rumah sakit ganti uang,1
258,ayah isi pulsa xl rb nomor,1
259,belikan pulsa as ndisek ribu nmrku anyar cepat entenipenteng kantor polisijangan smstlp,1
260,belanja promo disc bb dakota jt bb onyx jt bb z jt lain infosms pinbbaff klik,1
261,belanja toko resky diskon bb laptop samsung ipad nokia lain upemesananorder callsms kunjung situs,1
262,belikan mama pulsa simpati ribu nomor baru mama kirim cepat hpnya orang mama pinjam,1
263,bella bingung bang nulis nulis serba salah mending langsung ngobrol telepon deh bang nomor telepon xxxx,1
264,berkah poin nomor mndpt hadiah kei pin dhi silah verifikasi pin menang situs resmi,1
265,berkat isi ulang pulsa nomor tpilih menang cek tunai rpjt ptmkios pinnf uinfo klik,1
266,berkat isi ulang pulsa nomor pilih menang kejut tri mendpt cek tunai jt planetcare pinbh cek hadiah,1
267,big sale discound zjt iphone gbjt snote jt camera laptop lain pin bb ab callsms kunjung,1
268,big sale sinar blackberry z rpjt dakota rupiah jt tourch rupiah jt davis rupiah rb infohubsms ccfa,1
269,blackberry city jual blackberry discond dakota jt torch jt onyx jt davis jt gemini jt uinfo hubung ibuanita pin bbd,1
270,blackberry big sal bb z rupiah jt dakota rupiah jt samsung note ii rupiah jt iphone gb rupiah jt laptopcameradll minat ajak bbm pin affc,1
271,bpkibu rekening pilih menang cek jt bni uinfo klik kode cek hubung,1
272,bpkibu hormat milik noxxx pin undi resmi mdptkan rpjt cs klik carecom,1
273,bpr syariah yogya layan biaya usaha andasyaratcopy ktpkkbuku nikah jamin bpkbsertipikatproses survey cepat hubung,1
274,butuh dana tunai cepat juta bunga rendah flatbln proses jamin syarat mudah informasi yani,1
275,cahaya travel tiket murah promo terbang domestic internasional booking jam hubung kelik,1
276,casino besar daftar raih bonus referral bonus cashback sportsbook minggu main smartphone pc,1
277,dapat eticket promo terbang domestik internasional via mudah aman hubung klick,1
278,dapat etiket murah promo terbang domestic international booking informasi hubung,1
279,dapat tiket murah promo ditravel kmiuntuk terbang domestik internasional booking jam minat hubung,1
280,dapat total hadiah ratus juta rupiah kota berkah klik program sd agustus,1
281,daptkn etiket pesawat promo layan domestik and internasional booking cepat aman hubung taut,1
282,de inih bapa pakai nomor temen tolong kirimin pulsa nomor inih penring banget rumah digantiin,1
283,uang transfer rek bank xxx xxx an xxx sms nomor xxx,1
284,transfer uang rekening bni an ismawati rek sms kirim,1
285,jual ticket super junior tanggal april lady gaga tanggal juni harga goldjt tribunjt informasi hubung ladyticketwebscom,1
286,dptkan etiket promo terbang domestic internasional booking jam informasi hubung,1
287,gebyar poin plusplus indosat edisi priode nomor pin undi dhi resmi raih hadiah informasi,1
288,gebyar telkomselpoin nomor trpilih menang pin fg silah verifikasi pin situs resmi,1
289,gratis menit telpon indosat sms indosat mbak internet slma jam isi ulang rbisiulang pulsa rb nikmat gratis,1
290,gratis sms sesame indosat dengna kirim sms juni bonus x maks xjam informasi us,1
291,gratis internetan mbak laku isi ulang axismu rupiah ayo isi ulang nikmat bonus informasi,1
292,gratis internetan hg mbak telpon menit sms indosat isiulang rbutk daftar ketik gratis kirim gratis isi ulang,1
293,gratis pulsa rb malam isi ulang rb daftar ketik gratis kirim kereg ckp kaliinfo ketik informasi kirim,1
294,gtshop disc bb z jt bb torch jt bb davis jt minat galaxy s jt cp pinab gilisms versi demo,1
295,guntur hubung facebook balas stop unruk henti terima sms facebook,1
296,hi trims gabung layan gita bicara boladpt informasi tarik n prediksi akurat gita infomg rbsmsstop unreg gita cs,1
297,hquarters business residence lokasi emasasia afrika bandung harga prelaunchprofit roi libur bayar th tsm desjan,1
298,indomarcocell tawar agenpulsa mkios chip oprator harga v v v gabung ketikdaftar kirim lukis ku,1
299,indosatpoin plusplus selamat simcard xxxx resmi pilih mdpt hadiah pinbchdi sahkan ptindosat informasi klik,1
300,indovison promo rbu nikmat langgan gratis biaya pasangbonus cema hubung pin bb fc,1
301,informasi ptmkios hasil undi berkat isi pulsa selamat nohp xxxxx mdpt hadiah pin menang informasi klik,1
302,informasi resmi selamat pilih menang semarak undi ptindofood indonesia nomor pin dhi informasi pinhadiah klik,1
303,informasi resmi bpkibu hormat selamat nomor menang pesta isi ulang care nomor per undi malam pkl sctv uinfo hadiah klik,1
304,informasi resmi kepadabpkibu hormat selamat nomor menang pesta isi ulang care nomor per undi malam pkl sctv uinfo hadiah klik,1
305,informasi resmi ptindofood noanda tdftr menang undi pop mie edisi mndptkn unit nissan juke pinach infokunjungi,1
306,informasi resmi ptindofood selamat noanda tdftar pmnang pop mie raih hadiah unit nissan juke pinxbv uinfo kunjung,1
307,informasi resmi pttri care pin menang jf mdptkan hadiah i unit toyota yaris uinfo cek pin klik,1
308,informasi resmi pttri care pin menang jf simcard resmi hadiah unit toyota yaris nomor,1
309,informasi resmi pttri simcard resmi mdptkan hadiah mobil mazda kode pin emlb informasi hubung klik,1
